IDCNT,RISK_NATURE_1,RISK_NATURE_2,RISK_NATURE_3,RISK_FAMILY_STRUCT,RISK_ROOMS_NB,RISK_PROT_1,RISK_PROT_2,SURF_HOUSE,SURF_VER,SURF_OUTB,SURF_GR,OPTION_1,OPTION_2,OPTION_3,OPTION_4,OPTION_5,OPTION_6,OPTION_7,OPTION_8,INSEE_CODE,ZONE_1,ZONE_2,ZONE_3,AMOUNT
1010648,PH,FT,2,1,1,1,1,4,0,0,0,False,False,False,False,False,False,False,False,38185,M,K,C,0.0
1010741,PH,HO,1,3,4,1,1,8,0,1,3,False,False,False,False,False,False,True,True,37133,C,D,E,390.2045553
1010830,PH,HO,1,4,5,1,1,10,0,1,1,False,False,False,False,False,False,False,True,57481,G,F,G,0.0
1011062,PH,HO,1,4,6,1,1,14,0,1,1,False,False,False,False,False,False,False,False,37261,F,H,E,0.0
1011084,PH,HO,1,1,4,1,1,7,0,1,2,False,False,False,False,False,False,False,True,39397,C,D,G,0.0
1011096,PH,FT,2,3,2,4,0,4,0,0,0,False,False,False,False,False,False,False,False,69386,Q,P,E,0.0
1011115,PH,FT,2,2,4,1,1,7,0,0,0,False,False,False,False,False,False,False,False,69388,M,P,E,0.0
1011199,PH,HO,1,4,5,1,1,9,0,0,1,False,False,False,False,False,False,False,True,37281,F,H,E,0.0
1011612,PH,HO,1,3,6,1,1,12,0,1,2,False,False,False,False,False,False,False,True,54373,D,E,G,0.0
1011828,PH,FT,2,1,3,4,0,5,0,0,0,False,False,False,False,False,False,False,False,67482,J,H,E,0.0
1012317,PH,FT,2,1,1,4,0,1,0,0,0,False,False,False,False,False,False,False,False,22278,E,C,C,0.0
1012487,PH,HO,1,4,5,4,0,14,0,1,2,False,False,False,False,False,False,False,True,55132,E,D,E,0.0
1014431,PH,FO,5,1,3,1,1,6,0,0,0,False,False,False,False,False,False,False,False,67218,J,H,E,0.0
1014572,PH,HO,1,3,4,1,1,8,3,0,1,False,False,False,False,False,False,False,True,95491,R,P,C,0.0
1015069,PH,HT,2,4,3,4,0,8,0,0,1,False,False,False,False,False,False,False,False,59378,N,P,M,0.0
1015399,PH,FT,2,2,3,4,0,6,0,0,0,False,False,False,False,False,False,False,False,49328,C,D,E,0.0
1017575,PH,HO,1,4,5,4,0,9,0,2,1,False,False,False,False,False,False,False,False,91461,P,Q,C,0.0
1017642,PH,FT,2,1,2,4,0,4,0,0,0,False,False,False,False,False,False,False,False,56260,D,E,C,0.0
1018366,PH,FT,2,1,3,4,0,6,0,0,0,False,False,False,False,False,False,False,False,62041,G,F,J,0.0
1018430,SH,FO,5,0,2,4,0,4,0,0,0,False,False,False,False,False,False,False,False,06069,P,Q,J,0.0
1019589,PH,HO,1,4,6,4,0,11,2,1,3,False,False,False,False,False,False,False,True,57628,D,E,G,0.0
1020667,PH,HO,1,3,4,1,1,8,0,1,2,False,False,False,False,False,False,False,True,13037,R,P,K,0.0
1020920,SH,FO,5,0,1,1,1,1,0,0,0,False,False,False,False,False,False,False,False,83009,K,M,M,818.0389
1021493,PH,FO,1,4,3,4,0,6,0,0,0,False,True,False,False,False,True,True,False,95369,R,P,C,1707.1303216
1021807,PH,HO,3,4,6,4,0,12,0,1,1,False,False,False,False,False,True,False,False,39526,F,D,G,0.0
1021869,PH,HO,1,3,6,1,1,12,0,0,1,False,False,False,False,False,False,False,True,26362,L,M,H,0.0
1022011,PH,HT,2,1,3,4,0,5,0,0,0,False,False,False,False,False,False,False,False,59398,J,F,M,0.0
1022813,PH,HO,1,4,4,4,0,10,0,1,1,False,False,False,False,False,False,False,False,38480,M,K,C,0.0
1022874,SH,HO,1,0,3,1,1,5,0,0,1,False,False,False,False,False,False,False,False,29031,C,D,E,0.0
1024361,PH,HT,2,4,4,4,0,8,0,1,1,False,False,False,False,False,False,True,False,58260,C,E,M,0.0
1025685,PH,HO,1,4,6,4,0,14,0,1,1,False,False,False,False,False,True,False,False,49135,D,E,E,0.0
1026178,PH,HO,1,3,3,4,0,5,0,1,2,False,False,False,False,False,False,False,False,29025,C,D,E,0.0
1026436,PH,FO,1,3,4,4,0,8,0,0,0,False,False,False,False,False,False,False,False,63113,E,F,G,0.0
1026502,PH,FT,2,1,4,4,0,8,0,0,0,False,False,False,False,False,False,False,False,38229,M,K,C,1752.9405
1026682,PH,HO,1,4,6,1,1,14,0,2,3,False,False,False,False,False,False,False,False,71027,C,E,G,0.0
1029609,PH,FT,2,4,3,4,0,5,0,0,0,False,True,False,False,False,False,False,False,38547,M,K,C,0.0
1029917,SH,FO,5,0,1,4,0,2,0,0,0,False,False,False,False,False,False,False,False,64189,E,M,L,0.0
1030023,PH,HO,1,3,8,4,0,20,0,2,2,False,False,False,False,False,True,False,False,34337,N,K,P,0.0
1030034,SH,FO,1,0,2,4,0,3,0,0,0,False,False,False,False,False,False,False,False,75111,S,W,C,0.0
1030738,PH,HO,1,4,6,1,1,11,0,1,2,False,False,False,False,False,False,False,False,31424,Q,P,K,0.0
1031395,PH,HO,1,4,5,4,0,12,0,1,8,False,False,False,False,False,False,False,True,16069,C,D,G,0.0
1033033,PH,FO,5,1,3,4,0,8,0,0,0,False,False,False,False,False,False,False,False,67267,J,H,E,0.0
1033866,PH,FT,2,1,2,4,0,4,0,0,0,False,False,False,False,False,False,False,False,75107,S,W,C,0.0
1034501,PH,FO,1,1,5,1,1,10,3,0,0,False,False,False,False,False,False,False,False,92064,N,V,C,0.0
1034868,PH,HO,1,4,5,1,0,10,3,0,0,False,False,False,True,False,False,False,False,08105,F,K,L,0.0
1035592,PH,HO,1,4,8,1,1,20,0,2,2,False,False,False,False,False,False,False,False,38223,H,K,C,0.0
1036542,PH,HT,2,2,5,1,1,9,0,1,1,False,False,False,False,False,False,False,False,25475,F,E,K,0.0
1036681,PH,HO,1,4,5,1,1,12,0,2,2,False,False,False,False,False,False,False,True,45269,G,E,J,0.0
1037096,PH,HT,2,2,5,4,0,9,0,1,1,False,False,False,False,False,False,False,False,59273,F,K,M,0.0
1037397,PH,FT,2,4,4,1,1,8,0,0,0,False,False,False,False,False,False,False,False,69266,Q,P,E,116.8627
1037453,PH,HT,2,1,3,4,0,6,0,0,1,False,False,False,False,False,False,False,True,04144,D,H,E,0.0
1037794,PH,HO,1,1,5,1,1,12,8,1,1,False,False,False,False,False,False,False,False,31555,Q,P,K,0.0
1037971,PH,FT,2,3,2,4,0,4,0,0,0,False,False,False,False,False,False,False,False,91458,Q,Q,C,0.0
1038617,PH,FT,2,2,5,4,0,9,0,0,0,False,False,False,False,False,False,False,False,26347,H,H,H,0.0
1038680,PH,HO,1,3,5,4,0,10,0,1,1,False,False,False,False,False,False,False,False,49007,G,F,E,0.0
1038816,PH,HO,1,3,4,1,1,10,0,1,2,False,False,False,False,False,False,False,False,71040,D,E,G,0.0
1039695,PH,HO,1,3,5,4,0,10,0,2,3,False,False,False,False,False,False,False,True,87002,B,D,C,0.0
1039927,PH,HO,1,1,5,4,0,10,0,2,2,False,False,False,False,False,False,True,False,74085,C,C,C,0.0
1039938,PH,HO,1,3,4,4,0,8,0,1,1,False,False,False,False,False,False,False,False,02237,F,D,K,0.0
1040729,PH,HO,1,1,4,4,0,8,1,1,1,False,False,False,False,False,False,False,False,17091,E,E,H,0.0
1040813,PH,FT,2,3,2,4,0,4,0,0,0,False,False,False,False,False,False,False,False,59350,N,P,M,0.0
1041559,PH,HO,1,4,4,1,1,8,0,1,3,False,False,False,False,False,True,False,True,31299,J,P,K,0.0
1041940,PH,HO,1,4,5,1,0,14,0,1,1,False,False,False,True,False,False,False,False,08478,F,E,L,0.0
1042275,PH,FO,3,1,3,4,0,6,0,0,0,False,False,False,False,False,False,False,False,07331,E,F,L,0.0
1042453,PH,FT,2,4,3,4,0,6,0,0,0,False,False,False,False,False,False,False,False,35120,E,D,C,0.0
1043250,PH,FT,2,3,4,4,0,7,0,0,0,False,False,False,False,False,False,False,False,35238,F,F,C,0.0
1044133,SH,HO,1,0,8,1,1,20,0,1,1,False,False,False,False,False,False,False,False,65059,B,F,L,0.0
1044808,PH,HO,1,4,6,1,1,12,0,2,0,False,False,False,False,False,False,False,True,07053,E,D,L,0.0
1045489,PH,HO,1,4,7,4,0,16,0,1,3,False,False,False,False,False,False,False,False,31417,Q,P,K,0.0
1045977,PH,FT,2,1,2,4,0,3,0,0,0,False,False,False,False,False,False,False,False,35240,E,D,C,0.0
1046713,PH,HO,1,3,2,1,0,8,0,3,3,False,True,False,True,False,False,True,False,77279,M,K,K,0.0
1046790,PH,HO,1,3,5,1,0,12,3,1,3,False,False,False,False,True,False,True,True,78220,N,K,C,0.0
1047044,PH,HO,1,3,4,4,0,7,0,1,3,False,False,False,False,False,False,False,True,26165,J,H,H,0.0
1047730,PH,FO,5,3,5,4,0,12,0,0,0,False,False,False,False,False,False,False,False,83062,K,M,M,0.0
1047814,PH,HO,1,3,3,4,0,6,0,1,1,False,False,False,False,False,False,False,False,59557,H,E,M,0.0
1048526,PH,HO,1,3,5,4,0,14,0,1,3,False,False,False,False,False,False,False,True,40227,D,E,J,0.0
1048746,SH,HO,1,0,4,1,1,8,0,1,1,False,False,False,False,False,False,False,False,56233,C,C,C,0.0
1048808,PH,HO,1,3,4,1,1,8,0,1,1,False,False,False,False,False,True,False,False,62193,E,H,J,0.0
1049053,PH,FT,2,1,3,4,0,6,0,0,0,False,False,False,False,False,False,False,False,54528,G,F,G,0.0
1049184,PH,FO,5,3,6,2,1,14,0,0,0,False,False,False,True,False,False,False,False,77307,S,P,K,0.0
1049381,PH,FO,5,1,3,1,1,5,0,0,0,True,False,False,False,False,False,False,False,92009,N,S,C,0.0
1049792,PH,FT,2,2,3,1,1,8,0,0,0,False,False,False,False,False,False,False,False,51454,H,H,E,0.0
1049917,PH,FT,2,2,2,1,1,4,0,0,0,False,True,False,False,False,False,False,False,74105,K,E,C,0.0
1050914,PH,FT,2,1,1,4,0,2,0,0,0,False,False,False,False,False,False,False,False,75107,S,W,C,0.0
1050989,PH,FO,5,3,3,1,1,6,0,0,0,False,False,False,False,False,False,False,False,06004,P,Q,J,0.0
1052252,PH,HT,2,4,5,1,1,12,0,0,1,False,False,False,False,False,False,False,False,44003,C,E,E,0.0
1052425,PH,FT,2,2,3,4,0,6,0,0,0,False,False,False,False,False,False,False,False,45234,J,F,J,0.0
1052578,PH,FT,2,3,3,4,0,10,0,0,0,False,False,False,False,False,False,False,False,77258,S,P,K,0.0
1053011,PH,FO,5,4,7,1,1,14,0,0,0,False,False,False,False,False,False,False,False,75117,T,W,C,584.3135
1053048,SH,HO,1,0,8,1,0,20,0,4,5,False,False,False,False,True,True,False,True,29117,C,D,E,642.74485
1053424,PH,HO,1,4,4,1,1,12,0,0,1,False,False,False,False,False,False,False,False,33063,L,M,K,0.0
1053435,SH,HO,1,0,5,1,1,12,0,1,2,False,False,False,False,False,False,False,False,29930,C,D,E,0.0
1053505,PH,HO,1,4,7,1,1,14,3,1,1,False,False,False,False,False,True,True,True,49129,G,F,E,0.0
1053702,PH,HT,2,1,3,4,0,5,0,0,0,False,False,False,False,False,False,False,False,23093,B,D,K,0.0
1053712,PH,HO,1,4,7,4,0,14,0,1,4,False,False,False,False,False,False,False,True,62620,E,D,J,0.0
1054234,PH,HO,1,1,5,1,0,10,0,1,3,False,False,False,False,True,False,True,False,15012,B,H,E,0.0
1054595,PH,FT,2,1,2,4,0,3,0,0,0,False,False,False,False,False,False,True,False,35238,F,F,C,0.0
1055293,PH,HO,1,4,3,4,0,8,0,1,1,False,False,False,False,False,False,False,False,49018,C,D,E,0.0
1055306,PH,HO,1,3,5,1,1,12,0,1,1,False,False,False,False,False,False,False,True,57123,D,F,G,0.0
1057346,PH,HO,3,3,5,4,0,10,0,1,2,False,False,False,False,False,False,False,True,74217,J,H,C,0.0
1058534,PH,FO,5,3,4,4,0,7,0,0,0,False,False,False,False,False,False,False,False,42005,G,E,J,0.0
1058861,PH,FT,2,1,3,4,0,6,0,0,0,False,False,False,False,False,False,False,False,76497,H,K,G,0.0
1058870,PH,HO,1,4,4,4,0,12,0,1,1,False,False,False,False,False,False,False,False,55505,G,D,E,0.0
1058899,PH,HO,1,4,4,1,1,8,0,1,2,False,False,False,False,False,False,True,False,33032,L,M,K,0.0
1059171,PH,HT,2,4,4,4,0,8,0,1,1,False,False,False,False,False,False,False,False,34172,Q,M,P,0.0
1059436,PH,HO,1,3,4,4,0,8,0,1,1,False,False,False,False,False,False,False,False,31555,Q,P,K,0.0
1059640,PH,HO,1,4,4,4,0,10,4,1,1,False,False,False,False,False,False,True,False,33056,L,M,K,0.0
1059796,PH,FO,5,1,2,1,1,3,0,0,0,False,False,False,False,False,False,False,False,13204,T,P,K,0.0
1059974,PH,FT,2,4,3,1,1,5,0,0,0,False,False,False,False,False,False,False,False,93014,S,R,C,1040.07803
1060404,PH,HO,1,4,5,1,1,9,5,1,2,False,False,False,False,False,False,True,False,14274,E,E,C,0.0
1060584,PH,FO,5,2,3,1,1,6,0,0,0,False,False,False,False,False,True,False,False,69244,M,P,E,0.0
1060875,PH,HO,1,4,6,4,0,11,0,1,2,False,False,False,False,False,False,False,True,63178,C,B,G,0.0
1060981,PH,HO,1,4,4,4,0,8,0,1,3,False,False,False,False,False,False,False,False,57221,F,K,G,0.0
1061963,PH,FT,2,4,4,4,0,8,0,0,0,False,False,False,False,False,False,False,False,14047,C,E,C,0.0
1063600,PH,FT,2,1,3,4,0,6,0,0,0,False,False,False,False,False,False,False,False,30202,K,H,P,0.0
1063721,PH,HO,1,1,3,4,0,5,0,1,1,False,False,False,False,False,False,False,True,30225,J,H,P,0.0
1064266,PH,HT,2,3,6,4,0,12,0,1,1,False,False,False,False,False,False,False,False,76575,H,K,G,0.0
1065060,PH,HO,1,4,4,4,0,8,0,1,1,False,False,False,False,False,False,False,False,77327,M,K,K,0.0
1065415,PH,HO,1,4,6,1,1,11,0,1,2,False,False,False,False,False,False,False,True,43268,B,D,M,0.0
1065778,PH,FT,2,1,3,4,0,6,0,0,0,False,False,False,False,False,False,False,False,51454,H,H,E,0.0
1066225,PH,HO,1,4,7,1,1,16,0,2,3,False,False,False,False,False,False,False,True,88319,C,C,H,0.0
1066566,PH,HO,1,4,7,1,1,13,0,5,3,False,False,False,False,False,False,False,False,45147,J,F,J,2456.8396009
1066752,PH,HO,1,2,5,4,0,9,0,0,1,False,False,False,False,False,False,False,False,49274,C,D,E,0.0
1066775,PH,HO,1,4,5,1,1,9,0,2,2,False,False,False,False,False,False,False,False,79114,B,C,H,0.0
1066918,PH,FT,2,3,3,4,0,6,0,0,0,False,False,False,False,False,False,False,False,40088,E,E,J,0.0
1067670,PH,HO,1,3,4,1,1,8,0,1,2,False,True,False,False,False,False,False,False,77397,K,F,K,0.0
1068110,PH,HO,1,3,4,4,0,7,0,0,1,False,False,False,False,False,False,False,False,93010,S,R,C,0.0
1068193,PH,HO,1,4,5,4,0,12,0,3,3,False,False,False,False,False,False,True,True,71090,C,D,G,0.0
1068435,PH,HO,1,4,6,4,0,11,0,1,1,False,False,False,False,False,False,False,True,67447,J,H,E,0.0
1068575,PH,HO,1,4,7,4,0,13,0,1,2,False,False,False,False,False,False,False,False,56096,D,C,C,0.0
1069165,PH,HO,1,3,5,1,1,9,0,1,1,False,False,False,False,False,False,False,False,85112,C,D,G,0.0
1069737,PH,HO,1,3,6,4,0,12,0,2,4,False,False,True,False,False,False,False,True,59608,H,D,M,0.0
1070907,PH,FT,2,1,1,4,0,1,0,0,0,False,False,False,False,False,False,False,False,62239,E,H,J,0.0
1070935,PH,HT,2,2,4,4,0,8,0,1,1,False,False,False,False,False,False,False,False,44025,C,D,E,0.0
1071742,PH,FO,5,1,3,1,1,5,0,0,0,False,False,False,False,False,False,False,False,93066,S,R,C,0.0
1072290,PH,FT,2,3,3,4,0,5,0,0,0,False,False,False,False,False,False,False,False,25388,F,H,K,0.0
1072965,PH,FT,2,1,2,4,0,4,0,0,0,False,False,False,False,False,False,False,False,75117,T,W,C,0.0
1073293,PH,HO,1,4,4,4,0,7,0,1,1,False,False,False,False,False,False,False,False,60176,M,H,H,0.0
1073606,PH,FT,2,1,1,4,0,2,0,0,0,False,False,False,False,False,False,False,False,69381,M,P,E,0.0
1073672,PH,FO,1,4,4,4,0,7,0,0,0,False,False,False,False,False,False,False,False,77449,S,K,K,0.0
1073675,PH,HO,1,4,5,4,0,9,0,1,2,False,False,False,False,False,False,False,False,42324,F,D,J,0.0
1074456,PH,HO,1,1,5,4,0,9,0,0,1,False,False,False,False,False,False,False,False,95651,N,P,C,0.0
1074966,PH,HO,1,4,5,1,1,12,0,1,3,False,False,False,False,False,False,False,False,42208,G,D,J,0.0
1075006,PH,HO,1,3,5,1,1,14,0,1,4,False,False,False,False,False,False,False,True,46102,C,D,L,0.0
1075081,SH,HO,1,0,2,4,0,3,0,1,2,False,False,False,False,False,False,False,False,03084,C,C,K,0.0
1075337,PH,HO,1,4,5,1,1,10,0,1,2,False,False,False,False,False,True,False,False,31445,Q,P,K,0.0
1076475,PH,FT,2,1,2,4,0,4,0,0,0,False,False,False,False,False,False,False,False,06088,P,Q,J,0.0
1076718,PH,HO,1,4,5,4,0,10,0,2,2,False,False,False,True,False,False,False,True,59096,M,H,M,0.0
1077721,PH,HT,2,3,2,1,1,6,0,1,1,False,True,False,False,False,False,False,False,59132,F,D,M,0.0
1078067,PH,FT,2,1,1,1,1,2,0,0,0,False,False,False,False,False,False,False,False,78545,N,Q,C,0.0
1079008,PH,FO,1,1,3,4,0,6,0,0,0,False,False,False,False,False,False,False,False,69387,Q,P,E,0.0
1079020,PH,FO,5,1,2,4,0,4,0,0,0,False,True,False,False,False,False,False,False,75116,S,W,C,0.0
1079367,PH,FT,2,1,3,4,0,6,0,0,0,False,False,False,False,False,False,False,False,71270,C,H,G,0.0
1079635,PH,HT,2,1,2,4,0,4,0,1,0,False,False,False,False,False,False,False,False,21054,F,F,K,0.0
1079730,PH,FT,2,2,3,4,0,6,0,0,0,False,False,False,False,False,False,False,False,94016,Q,S,C,0.0
1080084,PH,HO,1,4,4,4,0,10,0,2,3,False,False,False,False,False,False,False,False,80021,G,H,K,0.0
1081617,PH,FO,1,1,2,4,0,4,0,0,0,False,False,False,False,False,False,False,False,75120,R,W,C,0.0
1081788,PH,FT,2,1,2,1,1,3,0,0,0,False,False,False,False,False,True,False,False,74282,F,D,C,0.0
1082412,PH,FO,5,1,2,1,1,6,0,0,0,False,False,False,False,False,False,False,False,93048,S,R,C,0.0
1082716,PH,HT,2,2,2,4,0,4,0,1,1,False,False,False,False,False,False,False,True,10362,F,F,E,0.0
1083164,PH,HO,1,4,5,4,0,9,0,1,1,False,False,False,False,False,False,False,True,11262,G,K,K,0.0
1084272,PH,HO,1,2,5,4,0,10,0,1,1,False,False,False,False,False,False,False,True,67239,D,E,E,0.0
1084434,PH,HO,1,4,5,4,0,9,0,1,1,False,False,False,False,False,False,True,False,38046,F,K,C,0.0
1084639,PH,FT,2,1,3,4,0,5,0,0,0,False,False,False,False,False,False,False,False,69264,J,M,E,0.0
1085172,PH,FT,2,2,5,4,0,9,0,0,0,False,False,False,False,False,False,True,False,68066,G,E,H,0.0
1085677,PH,HO,1,3,5,1,1,9,0,2,6,False,False,False,False,False,True,False,True,16360,C,D,G,0.0
1086040,PH,HT,2,4,5,4,0,10,0,1,1,False,False,False,False,False,False,True,False,80021,G,H,K,0.0
1086551,PH,HO,1,1,5,1,1,12,1,2,2,False,False,False,False,False,False,False,False,72328,E,D,E,0.0
1086766,PH,FO,1,4,5,4,0,9,0,0,0,False,False,False,False,False,False,False,False,91286,P,Q,C,0.0
1087345,PH,HO,1,4,5,4,0,10,4,1,1,False,False,False,False,False,False,False,False,31555,Q,P,K,0.0
1087786,PH,HO,1,4,7,1,1,13,0,1,1,False,False,False,False,False,False,False,False,35032,E,D,C,0.0
1088529,PH,FT,2,3,2,4,0,6,0,0,0,False,False,False,False,False,False,False,False,06029,P,Q,J,0.0
1088738,SH,FO,5,0,1,4,0,2,0,0,0,False,False,False,False,False,False,False,False,83061,N,K,M,0.0
1089351,PH,FT,2,1,2,4,0,4,0,0,0,False,False,False,False,False,False,False,False,05061,D,E,E,0.0
1090259,SH,HO,1,0,3,4,0,5,0,0,1,False,False,False,False,False,False,False,False,83071,K,K,M,0.0
1092577,PH,HO,1,3,5,4,0,12,0,1,1,False,False,False,False,False,False,False,True,77373,S,P,K,0.0
1092646,PH,FT,2,1,2,4,0,3,0,0,0,False,False,False,False,False,False,False,False,66136,L,M,G,0.0
1092944,PH,HO,1,4,3,4,0,8,0,1,0,False,False,False,False,False,False,False,False,69384,M,P,E,0.0
1093024,PH,FT,2,1,3,4,0,5,0,0,0,False,False,False,False,False,False,False,False,91115,P,Q,C,0.0
1093777,PH,HO,1,4,5,4,0,9,0,2,2,False,False,False,False,False,False,False,True,63227,E,F,G,0.0
1094100,PH,HO,1,3,3,1,1,6,0,1,1,False,False,False,False,False,False,False,False,69383,Q,P,E,0.0
1094110,PH,HO,1,3,3,1,0,5,0,1,1,False,False,False,True,False,False,False,False,56098,E,F,C,0.0
1094746,SH,FO,1,0,2,4,0,4,0,0,0,False,False,False,False,False,False,False,False,39470,C,D,G,0.0
1095525,SH,HO,1,0,4,1,1,8,0,0,5,False,False,False,False,False,False,False,True,77234,S,K,K,0.0
1095739,PH,HO,1,4,7,1,1,14,0,3,1,False,False,False,False,False,False,False,True,31424,Q,P,K,0.0
1095754,PH,HO,1,1,5,1,0,9,0,1,1,False,False,False,True,False,False,False,True,29199,C,D,E,0.0
1096009,PH,FT,2,4,4,4,0,7,0,0,0,False,False,False,False,False,False,False,False,13004,L,P,K,0.0
1096155,PH,HO,1,1,5,1,0,10,6,0,1,False,False,False,True,False,False,False,False,05061,D,E,E,0.0
1097172,PH,FO,1,1,4,4,0,7,0,0,0,False,False,False,False,False,False,False,False,39300,E,F,G,0.0
1097566,PH,HT,2,4,5,4,0,10,0,1,1,False,False,False,False,False,False,False,False,50409,C,C,H,0.0
1097612,PH,HO,1,1,4,4,0,8,3,1,2,False,False,False,False,False,False,False,True,56052,C,C,C,0.0
1097826,PH,HO,1,1,6,1,1,12,0,1,2,False,False,False,False,False,False,False,True,01241,F,D,H,0.0
1097853,PH,HO,1,3,6,4,0,16,0,1,4,False,False,False,False,False,False,True,False,06085,P,Q,J,116.8627
1098641,PH,FT,2,3,2,4,0,4,0,0,0,False,False,False,False,False,False,False,False,59378,N,P,M,0.0
1099022,PH,HO,1,3,4,1,1,8,0,1,2,False,False,False,False,False,False,False,True,49176,C,D,E,0.0
1099930,PH,FO,1,1,5,4,0,9,0,0,0,False,False,False,False,False,False,False,False,33522,L,M,K,0.0
1100576,PH,HT,2,3,4,1,0,8,0,0,1,False,True,False,True,False,False,False,False,59510,F,K,M,0.0
1100927,PH,FT,2,4,3,4,0,6,0,0,0,False,False,False,False,False,False,True,False,75117,T,W,C,0.0
1100992,PH,HO,1,3,3,4,0,6,0,1,2,False,False,False,False,False,False,False,False,81065,F,F,L,0.0
1101051,PH,FT,2,1,2,4,0,4,0,0,0,False,False,False,False,False,False,False,False,92049,N,S,C,0.0
1101246,PH,HO,1,4,6,4,0,14,0,1,4,False,False,False,False,False,False,False,True,56240,C,C,C,0.0
1101438,PH,HO,1,4,3,1,0,6,0,1,1,False,False,False,True,False,False,True,False,59322,F,D,M,0.0
1101473,PH,FT,2,4,3,1,1,6,0,0,0,False,False,False,False,False,False,False,False,68224,H,K,H,0.0
1101734,SH,FO,1,0,4,4,0,7,0,0,0,False,False,False,False,False,False,False,False,74258,C,C,C,0.0
1103086,PH,FT,2,1,2,1,1,4,0,0,0,False,False,False,False,False,False,False,False,29232,C,E,E,0.0
1103239,SH,HO,1,0,3,4,0,5,2,1,3,False,False,False,False,False,False,False,True,77312,K,F,K,0.0
1103581,PH,FT,2,2,3,4,0,8,0,0,0,False,False,False,False,False,False,False,False,16015,H,E,G,0.0
1104062,PH,HT,2,3,5,4,0,20,0,1,4,False,False,False,False,False,False,False,False,06095,P,Q,J,0.0
1104098,SH,HO,1,0,3,4,0,6,3,2,2,False,False,False,False,False,False,False,False,68102,E,E,H,0.0
